state,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022
Alabama,1.9,1.9,-1.3,4.4,1.7,2.5
Alaska,-2,-0.3,-3.8,1.3,-1.4,5.3
Arizona,4,3.8,0.8,7.8,3.2,2.7
Arkansas,2,0.7,0.7,5.9,1.3,2.5
California,4,3.9,-1.3,7.6,0.7,2.1
Colorado,4.3,5,-0.7,6.8,2.2,2.9
Connecticut,0.3,-0.1,-5.7,4,2.9,2.1
Delaware,1.9,5.3,-2.7,2.6,1,-1.2
District of Columbia,2.8,0.6,-0.8,3.6,0.9,1
Florida,3.5,2.7,-1,9,4.6,5
Georgia,3,3.3,-3,6.1,2.6,0.8
Hawaii,1.6,0.1,-10.5,5.7,1.3,2
Idaho,6.5,4.6,1.9,6.2,4.2,3.5
Illinois,2.2,0.8,-5.6,5.3,1.3,1.3
Indiana,3.1,0.6,-3.2,6.9,3.1,1.4
Iowa,1.1,-0.5,-0.6,6.1,-0.3,1.3
Kansas,2.1,0.3,-1.1,2.6,1.1,4.3
Kentucky,1.2,2.8,-2.6,4,1.4,3.5
Louisiana,2.2,0.5,-7.1,2.3,-1.2,3
Maine,2.9,2.4,1.6,5.1,2.2,1.9
Maryland,0.7,0,-3.4,4.5,1.6,2.1
Massachusetts,3.6,3.2,-1.9,6.4,2.1,1.8
Michigan,2.3,0.2,-3,5.8,1.6,1.5
Minnesota,2.8,1.1,-2.9,4.6,1.2,1.2
Mississippi,-0.1,0.3,-0.6,3.9,0,0.7
Missouri,0.9,2.1,-1.7,4.7,2,2.2
Montana,2,1.7,-0.3,5.6,1.9,2.2
Nebraska,1.9,1.5,-0.5,5.2,2.7,5.2
Nevada,3.3,4.2,-5.7,9.2,3.4,2.7
New Hampshire,1.3,2.1,-1,8.1,0.3,1.2
New Jersey,2.8,1.7,-3.4,5.5,2.8,1.5
New Mexico,3.1,4.5,-2.9,2.1,1.8,4.1
New York,2.5,2.7,-3.5,4.5,2.3,0.7
North Carolina,1.8,2.1,-0.6,5.8,2,2.7
North Dakota,3.5,1.1,-5.8,-0.5,-1.1,5.9
Ohio,0.6,2.7,-2.9,4.8,0.5,1.2
Oklahoma,1.8,1.8,-4.4,1.5,-1,5.3
Oregon,3.9,2.4,-0.9,5.2,1.8,2.1
Pennsylvania,1.3,1.1,-4.7,3.8,1,2.2
Rhode Island,-0.1,1.9,-2.9,4.5,2.3,1.6
South Carolina,3,2.5,-1.6,4.8,2.5,3.6
South Dakota,0.6,0.8,0.6,4.6,-0.3,2.5
Tennessee,2,2.1,-1,8.2,3.9,3.2
Texas,4.8,3.2,-1.7,5.7,2.7,5.7
Utah,5.8,5.8,1.1,7.8,1.9,2.5
Vermont,0.7,1.2,-2.7,4.8,2.2,1.3
Virginia,2.4,2.5,-1.3,5.4,2.5,2.4
Washington,6.6,4.8,0.2,6.8,1.6,4.8
West Virginia,3,-0.8,-3.7,2.1,1.3,4.7
Wisconsin,2.2,1.5,-3.2,3.6,0.4,0.2
Wyoming,0.9,1.5,-6.2,2.1,1,5.4
